alpha,rho,N,Z,tau,reference_mode_amplitude,reference_max_intensity,open_field_error,corrected_field_error,open_intensity_error,corrected_intensity_error,reference_power_rel,open_power_rel
0.8,0.15,512,2.5,0.37211687347639777,5.608093320749653e-07,1.0000021400776358,2.9110129763981706e-08,6.174858676942218e-10,1.5163154736272195e-09,1.0496135165965081e-09,0.0,-2.2204460492492028e-16
0.8,0.15,1024,2.5,0.37211687347639777,5.608093320749653e-07,1.0000021400776358,1.668229721138938e-08,1.446664895872748e-10,1.1565302823838013e-09,2.7540693068197656e-10,0.0,-2.2204460492492028e-16
0.8,0.15,128,2.6,0.3870015484154537,5.657134151716167e-07,1.000002151650274,1.2763937849845633e-07,1.3812408408971104e-08,9.902459852386095e-09,1.6069966929694036e-08,0.0,-2.2204460492492028e-16
0.8,0.15,256,2.6,0.3870015484154537,5.657134151716167e-07,1.000002151650274,5.022950327860585e-08,3.055758022943356e-09,3.4405069289675184e-09,4.379382369501232e-09,0.0,-4.4408920984984055e-16
0.8,0.15,512,2.6,0.3870015484154537,5.657134151716167e-07,1.000002151650274,3.0339701492482994e-08,6.556597525557307e-10,1.643077311805908e-09,1.1309172588655254e-09,0.0,-4.4408920984984055e-16
0.8,0.15,1024,2.6,0.3870015484154537,5.657134151716167e-07,1.000002151650274,1.7388555629241673e-08,1.5479370798839663e-10,1.253253277848479e-09,2.9656590146212406e-10,0.0,-2.2204460492492028e-16
0.8,0.15,128,2.7,0.40188622335450963,5.708024741854067e-07,1.0000021636996281,1.3274915250459544e-07,1.4468019436174288e-08,1.069932436114116e-08,1.729851724846723e-08,0.0,0.0
0.8,0.15,256,2.7,0.40188622335450963,5.708024741854067e-07,1.0000021636996281,5.229307626138211e-08,3.2140058441912636e-09,3.7157642147860024e-09,4.7094079783371675e-09,0.0,-4.4408920984984055e-16
0.8,0.15,512,2.7,0.40188622335450963,5.708024741854067e-07,1.0000021636996281,3.157703316350168e-08,6.949875638607686e-10,1.775298708879122e-09,1.2151245503860626e-09,0.0,-4.4408920984984055e-16
0.8,0.15,1024,2.7,0.40188622335450963,5.708024741854067e-07,1.0000021636996281,1.8099455656010052e-08,1.6526657264281033e-10,1.354148112380357e-09,3.184628173040158e-10,0.0,-4.4408920984984055e-16
0.8,0.15,128,2.8000000000000003,0.41677089829356556,5.760760559969408e-07,1.0000021762283682,1.3788184077372568e-07,1.5135246709036025e-08,1.1529436290181653e-08,1.8573629508736044e-08,-2.2204460492492028e-16,-2.2204460492492028e-16
0.8,0.15,256,2.8000000000000003,0.41677089829356556,5.760760559969408e-07,1.0000021762283682,5.4371747955550223e-08,3.375914041984134e-09,4.002261754428778e-09,5.051296173414255e-09,-2.2204460492492028e-16,-4.4408920984984055e-16
0.8,0.15,512,2.8000000000000003,0.41677089829356556,5.760760559969408e-07,1.0000021762283682,3.282244127608687e-08,7.354956764345422e-10,1.9130370299427277e-09,1.3022464525597839e-09,-2.2204460492492028e-16,-4.4408920984984055e-16
0.8,0.15,1024,2.8000000000000003,0.41677089829356556,5.760760559969408e-07,1.0000021762283682,1.881518690002868e-08,1.760910356947766e-10,1.4592591531732473e-09,3.410999226477637e-10,-2.2204460492492028e-16,-2.2204460492492028e-16
0.8,0.15,128,2.9,0.43165557323262144,5.815337494561197e-07,1.0000021892392699,1.4303833080378706e-07,1.581453248463033e-08,1.239315531015651e-08,1.9895810794562182e-08,-4.4408920984984055e-16,-2.2204460492492028e-16
0.8,0.15,256,2.9,0.43165557323262144,5.815337494561197e-07,1.0000021892392699,5.646611346756136e-08,3.5416029769284297e-09,4.300095625475522e-09,5.4051211906904305e-09,-4.4408920984984055e-16,-4.4408920984984055e-16
0.8,0.15,512,2.9,0.43165557323262144,5.815337494561197e-07,1.0000021892392699,3.407624439537149e-08,7.772121457468615e-10,2.056351692132994e-09,1.3922942232498391e-09,-4.4408920984984055e-16,-6.661338147747608e-16
0.8,0.15,1024,2.9,0.43165557323262144,5.815337494561197e-07,1.0000021892392699,1.953594023925585e-08,1.8727338730698318e-10,1.56863266727752e-09,3.644792592255577e-10,-4.4408920984984055e-16,-2.2204460492492028e-16
0.8,0.15,128,3.0,0.44654024817167737,5.87175188785158e-07,1.0000022027352153,1.4821951438506663e-07,1.6506346568028447e-08,1.3290854405514882e-08,2.1265579408138423e-08,-2.2204460492492028e-16,-4.4408920984984055e-16
0.8,0.15,256,3.0,0.44654024817167737,5.87175188785158e-07,1.0000022027352153,5.8576771869174606e-08,3.7111995004243242e-09,4.609365601681275e-09,5.770956970431102e-09,-2.2204460492492028e-16,-4.4408920984984055e-16
0.8,0.15,512,3.0,0.44654024817167737,5.87175188785158e-07,1.0000022027352153,3.533876323744278e-08,8.201663639625842e-10,2.2053049479909158e-09,1.485278866954518e-09,-2.2204460492492028e-16,-4.4408920984984055e-16
0.8,0.15,1024,3.0,0.44654024817167737,5.87175188785158e-07,1.0000022027352153,2.0261907874918003e-08,1.9882027440022799e-10,1.6823167113758347e-09,3.886029572190352e-10,-2.2204460492492028e-16,-2.2204460492492028e-16
