alpha,rho,N,closure,threshold,Z_f,g,beta
1.6,0.3,128,open,0.0003,40.0,0.2989848978959758,1.6001219098981472
1.6,0.3,128,corrected,0.0003,43.9,0.2989848978959758,1.6001219098981472
1.6,0.3,128,open,0.001,43.6,0.2989848978959758,1.6001219098981472
1.6,0.3,128,corrected,0.001,46.3,0.2989848978959758,1.6001219098981472
1.6,0.3,128,open,0.01,47.9,0.2989848978959758,1.6001219098981472
1.6,0.3,128,corrected,0.01,,0.2989848978959758,1.6001219098981472
1.6,0.3,256,open,1e-05,33.5,0.2989848978959758,1.6001219098981472
1.6,0.3,256,corrected,1e-05,41.0,0.2989848978959758,1.6001219098981472
1.6,0.3,256,open,3e-05,36.9,0.2989848978959758,1.6001219098981472
1.6,0.3,256,corrected,3e-05,42.8,0.2989848978959758,1.6001219098981472
1.6,0.3,256,open,0.0001,40.6,0.2989848978959758,1.6001219098981472
1.6,0.3,256,corrected,0.0001,44.8,0.2989848978959758,1.6001219098981472
1.6,0.3,256,open,0.0003,43.9,0.2989848978959758,1.6001219098981472
1.6,0.3,256,corrected,0.0003,46.5,0.2989848978959758,1.6001219098981472
1.6,0.3,256,open,0.001,46.6,0.2989848978959758,1.6001219098981472
1.6,0.3,256,corrected,0.001,47.9,0.2989848978959758,1.6001219098981472
1.6,0.3,256,open,0.01,,0.2989848978959758,1.6001219098981472
1.6,0.3,256,corrected,0.01,,0.2989848978959758,1.6001219098981472
1.6,0.3,512,open,1e-05,37.1,0.2989848978959758,1.6001219098981472
1.6,0.3,512,corrected,1e-05,42.9,0.2989848978959758,1.6001219098981472
1.6,0.3,512,open,3e-05,40.5,0.2989848978959758,1.6001219098981472
1.6,0.3,512,corrected,3e-05,44.7,0.2989848978959758,1.6001219098981472
1.6,0.3,512,open,0.0001,44.0,0.2989848978959758,1.6001219098981472
1.6,0.3,512,corrected,0.0001,46.6,0.2989848978959758,1.6001219098981472
1.6,0.3,512,open,0.0003,46.5,0.2989848978959758,1.6001219098981472
1.6,0.3,512,corrected,0.0003,47.9,0.2989848978959758,1.6001219098981472
1.6,0.3,512,open,0.001,47.9,0.2989848978959758,1.6001219098981472
1.6,0.3,512,corrected,0.001,,0.2989848978959758,1.6001219098981472
1.6,0.3,512,open,0.01,,0.2989848978959758,1.6001219098981472
1.6,0.3,512,corrected,0.01,,0.2989848978959758,1.6001219098981472
1.6,0.3,1024,open,1e-05,40.5,0.2989848978959758,1.6001219098981472
1.6,0.3,1024,corrected,1e-05,44.8,0.2989848978959758,1.6001219098981472
1.6,0.3,1024,open,3e-05,43.8,0.2989848978959758,1.6001219098981472
1.6,0.3,1024,corrected,3e-05,46.5,0.2989848978959758,1.6001219098981472
1.6,0.3,1024,open,0.0001,46.6,0.2989848978959758,1.6001219098981472
1.6,0.3,1024,corrected,0.0001,47.9,0.2989848978959758,1.6001219098981472
1.6,0.3,1024,open,0.0003,47.8,0.2989848978959758,1.6001219098981472
1.6,0.3,1024,corrected,0.0003,,0.2989848978959758,1.6001219098981472
1.6,0.3,1024,open,0.001,,0.2989848978959758,1.6001219098981472
1.6,0.3,1024,corrected,0.001,,0.2989848978959758,1.6001219098981472
1.6,0.3,1024,open,0.01,,0.2989848978959758,1.6001219098981472
1.6,0.3,1024,corrected,0.01,,0.2989848978959758,1.6001219098981472
