N,Z,closure,intensity,pdf_ref,pdf_finite
512,15.0,open,0.9908767433111856,19.642859024002576,19.24842410384188
512,15.0,open,0.9924241508334488,18.853989183681186,20.74727680045252
512,15.0,open,0.9939715583557123,19.011763151745466,19.958406960131132
512,15.0,open,0.9955189658779755,22.79833838528813,20.983937752548936
512,15.0,open,0.997066373400239,19.958406960131132,22.640564417223853
512,15.0,open,0.9986137809225022,25.007173938188018,22.71945140125599
512,15.0,open,1.0001611884447656,24.21830409786489,25.71715679447542
512,15.0,open,1.0017085959670289,24.4549650499648,23.823869177707646
512,15.0,open,1.0032560034892923,25.322721874314755,21.930581560933028
512,15.0,open,1.0048034110115558,25.953817746571822,23.42943425754356
512,15.0,open,1.0063508185338192,19.01176315174683,22.00946854496832
512,15.0,open,1.0078982260560825,21.22059870464383,20.431728864322498
512,15.0,open,1.0094456335783457,18.932876167714685,18.14400632739324
512,15.0,open,1.0109930411006092,18.7751021996477,18.065119343358504
512,15.0,open,1.0125404486228726,19.169537119808368,18.617328231583436
512,15.0,open,1.014087856145136,17.82845839126466,20.195067912228996
512,15.0,open,1.0156352636673993,17.98623235932637,16.408492678683704
512,15.0,open,1.0171826711896625,15.619622838364615,15.54073585433247
