N,Z,closure,realization,max_finite,max_ref,delta_max
512,15.0,open,0,1.0154362386148545,1.0144811649911336,0.0009550736237209367
512,15.0,open,1,1.0379365031290866,1.0397458655906429,-0.0018093624615562742
512,15.0,open,2,1.0224245910796368,1.0237222387979505,-0.0012976477183137547
512,15.0,open,3,1.0361296989325068,1.0371964985212958,-0.0010667995887889692
512,15.0,open,4,1.0445027334127055,1.044067610131763,0.0004351232809425287
512,15.0,open,5,1.019978272194479,1.0195565566439844,0.00042171555049463905
512,15.0,open,6,1.0294596442469928,1.0275175327059125,0.0019421115410802603
512,15.0,open,7,1.025451032442745,1.0271907441956314,-0.0017397117528863415
512,15.0,open,8,1.041027245730141,1.0413279741775738,-0.0003007284474327854
512,15.0,open,9,1.0279312080152494,1.0274927427874527,0.0004384652277966694
512,15.0,open,10,1.0516669304626032,1.0522782696437016,-0.0006113391810984581
512,15.0,open,11,1.0216130537532053,1.0206643992535958,0.0009486544996095692
512,15.0,open,12,1.0325108867202677,1.0315966405672885,0.0009142461529791923
512,15.0,open,13,1.0191730611856982,1.0189066772083004,0.000266383977397755
512,15.0,open,14,1.03753482334431,1.033841199488881,0.00369362385542904
512,15.0,open,15,1.0241429195834366,1.0243555980814767,-0.00021267849804007533
512,15.0,open,16,1.0243337033017006,1.0246258440306804,-0.00029214072897976173
512,15.0,open,17,1.0511675647853653,1.0497596078426579,0.0014079569427074556
512,15.0,open,18,1.0409455829841041,1.0414708083121162,-0.0005252253280121355
512,15.0,open,19,1.0341340354122697,1.0355092374578219,-0.001375202045552193
512,15.0,open,20,1.0522650218277598,1.052123875414147,0.00014114641361273605
512,15.0,open,21,1.0277742191115369,1.028322420496541,-0.0005482013850042211
512,15.0,open,22,1.0226851002257735,1.0218932416814568,0.000791858544316737
512,15.0,open,23,1.0189556586140012,1.0202473770189837,-0.0012917184049825448
512,15.0,open,24,1.0372198707337557,1.0389286277550114,-0.0017087570212557246
512,15.0,open,25,1.0484067404705495,1.047150271686939,0.0012564687836105204
512,15.0,open,26,1.0320027712789592,1.032387295020272,-0.0003845237413127034
512,15.0,open,27,1.0285988519765275,1.0284144212293864,0.00018443074714102892
512,15.0,open,28,1.0295473929478698,1.028138489670359,0.0014089032775108645
512,15.0,open,29,1.0249938475575993,1.025619388029667,-0.0006255404720676427
512,15.0,open,30,1.030281687369981,1.0309495098635577,-0.0006678224935767751
512,15.0,open,31,1.0222587886000354,1.0218610769501004,0.000397711649934962
512,15.0,open,32,1.0297573012998673,1.027212841200361,0.0025444600995063738
512,15.0,open,33,1.0245914104670089,1.022765447096881,0.0018259633701278588
512,15.0,open,34,1.0257916005233119,1.0235013601980014,0.002290240325310444
512,15.0,open,35,1.0438365894244208,1.0433238158110112,0.0005127736134096228
512,15.0,open,36,1.026934904966873,1.0282751258013383,-0.0013402208344652777
512,15.0,open,37,1.0441069037776176,1.039380062330851,0.004726841446766716
512,15.0,open,38,1.0239297364986955,1.0228966860610862,0.001033050437609262
512,15.0,open,39,1.0349107997264964,1.033331011527265,0.0015797881992314355
512,15.0,open,40,1.0185700633124066,1.0175100377489976,0.0010600255634090061
512,15.0,open,41,1.0296406647626768,1.0291741046269043,0.0004665601357725091
512,15.0,open,42,1.066446162950624,1.0705682307077486,-0.004122067757124537
512,15.0,open,43,1.0530394839166997,1.0557232464578148,-0.002683762541115131
512,15.0,open,44,1.0185165160691385,1.016868838669458,0.001647677399680525
512,15.0,open,45,1.0283126667232818,1.0285091821266974,-0.00019651540341558693
512,15.0,open,46,1.0259510626212383,1.0274449283366243,-0.0014938657153860113
512,15.0,open,47,1.0322075502525836,1.030662849389712,0.0015447008628715064
512,15.0,open,48,1.0452454481223263,1.044029446604324,0.0012160015180022743
512,15.0,open,49,1.01832488639068,1.016624208751063,0.0017006776396168988
512,15.0,open,50,1.0587462777102072,1.057182317198013,0.0015639605121942068
512,15.0,open,51,1.047855044914861,1.0455938253359296,0.0022612195789313283
512,15.0,open,52,1.0320358808811687,1.0331707918238475,-0.0011349109426788129
512,15.0,open,53,1.022162220470261,1.0208159346285268,0.0013462858417341295
512,15.0,open,54,1.0401755797375558,1.0380751870340923,0.002100392703463516
512,15.0,open,55,1.019918457908273,1.0191609329306897,0.0007575249775833015
512,15.0,open,56,1.0202068260341113,1.0184922915429002,0.0017145344912110616
512,15.0,open,57,1.028051126939043,1.0293559656730178,-0.0013048387339746892
512,15.0,open,58,1.0407049601510938,1.0381297328208872,0.002575227330206653
512,15.0,open,59,1.027778016882243,1.0280919723060629,-0.000313955423819845
512,15.0,open,60,1.031877041467936,1.031376953436061,0.0005000880318748457
512,15.0,open,61,1.024483703084854,1.0242244551951165,0.00025924788973741286
512,15.0,open,62,1.049300304415824,1.0471397761343644,0.0021605282814596283
512,15.0,open,63,1.0318908859168832,1.0310210377970646,0.0008698481198186059
512,15.0,corrected,0,1.0145435777656824,1.0144811649911336,6.241277454877014e-05
512,15.0,corrected,1,1.0397507078945476,1.0397458655906429,4.842303904739609e-06
512,15.0,corrected,2,1.0235644164280375,1.0237222387979505,-0.0001578223699130188
512,15.0,corrected,3,1.0372031813137552,1.0371964985212958,6.682792459411502e-06
512,15.0,corrected,4,1.0440760454742775,1.044067610131763,8.435342514490074e-06
512,15.0,corrected,5,1.019595630685363,1.0195565566439844,3.907404137870607e-05
512,15.0,corrected,6,1.0275183704539979,1.0275175327059125,8.377480853472008e-07
512,15.0,corrected,7,1.0271937071885813,1.0271907441956314,2.9629929498842245e-06
512,15.0,corrected,8,1.041404258808911,1.0413279741775738,7.628463133713126e-05
512,15.0,corrected,9,1.0273784777352548,1.0274927427874527,-0.00011426505219791494
512,15.0,corrected,10,1.052369721551511,1.0522782696437016,9.145190780945889e-05
512,15.0,corrected,11,1.0206873026134662,1.0206643992535958,2.2903359870429796e-05
512,15.0,corrected,12,1.0316234017730437,1.0315966405672885,2.676120575517693e-05
512,15.0,corrected,13,1.0190100727451887,1.0189066772083004,0.00010339553688831771
512,15.0,corrected,14,1.0338471870600972,1.033841199488881,5.987571216170551e-06
512,15.0,corrected,15,1.024245008477157,1.0243555980814767,-0.00011058960431964415
512,15.0,corrected,16,1.0246153683593147,1.0246258440306804,-1.047567136569505e-05
512,15.0,corrected,17,1.0497935352001881,1.0497596078426579,3.392735753027232e-05
512,15.0,corrected,18,1.0414883549335499,1.0414708083121162,1.754662143360619e-05
512,15.0,corrected,19,1.0355272743173611,1.0355092374578219,1.8036859539272143e-05
