alpha,rho,q,lambda_inf,mi_gain
0.8,0.15,2.6546457922833753,2.7940510171606747,0.0
0.8,0.15,2.6624997739173497,2.7958860633325218,0.0
0.8,0.15,2.6703537555513246,2.7976910664508585,0.0
0.8,0.15,2.678207737185299,2.7994660367918427,0.0
0.8,0.15,2.6860617188192735,2.801210984445011,0.0
0.8,0.15,2.693915700453248,2.802925919314147,0.0
0.8,0.15,2.7017696820872223,2.8046108511181536,0.0
0.8,0.15,2.709623663721197,2.80626578939189,0.0
0.8,0.15,2.7174776453551712,2.8078907434869955,0.0
0.8,0.15,2.7253316269891457,2.8094857225726884,0.0
0.8,0.15,2.73318560862312,2.811050735636573,0.0
0.8,0.15,2.7410395902570945,2.812585791485392,0.0
0.8,0.15,2.7488935718910694,2.8140908987457935,0.0
0.8,0.15,2.756747553525044,2.815566065865067,0.0
0.8,0.15,2.7646015351590183,2.8170113011118554,0.0
0.8,0.15,2.7724555167929927,2.818426612576867,0.0
0.8,0.15,2.780309498426967,2.819812008173566,0.0
0.8,0.15,2.7881634800609416,2.8211674956388344,0.0
0.8,0.15,2.796017461694916,2.8224930825336316,0.0
0.8,0.15,2.8038714433288905,2.823788776243635,0.0
0.8,0.15,2.811725424962865,2.8250545839798624,0.0
0.8,0.15,2.8195794065968394,2.826290512779276,0.0
0.8,0.15,2.8274333882308142,2.8274965695053766,0.0
0.8,0.15,2.8352873698647887,2.828672760848779,0.0
0.8,0.15,2.843141351498763,2.8298190933277754,0.0
0.8,0.15,2.8509953331327376,2.830935573288871,0.0
0.8,0.15,2.858849314766712,2.832022206907327,0.0
0.8,0.15,2.8667032964006864,2.8330790001876682,0.0
0.8,0.15,2.874557278034661,2.8341059589641793,0.0
0.8,0.15,2.8824112596686353,2.835103088901404,0.0
0.8,0.15,2.8902652413026098,2.8360703954945974,0.0
0.8,0.15,2.898119222936584,2.837007884070194,0.0
0.8,0.15,2.905973204570559,2.8379155597862473,0.0
0.8,0.15,2.9138271862045335,2.8387934276328477,0.0
0.8,0.15,2.921681167838508,2.8396414924325475,0.0
0.8,0.15,2.9295351494724824,2.84045975884075,0.0
0.8,0.15,2.937389131106457,2.8412482313460936,0.0
0.8,0.15,2.9452431127404313,2.8420069142708306,0.0
0.8,0.15,2.9530970943744057,2.842735811771165,0.0
0.8,0.15,2.96095107600838,2.843434927837608,0.0
0.8,0.15,2.9688050576423546,2.8441042662953055,0.0
0.8,0.15,2.976659039276329,2.844743830804343,0.0
0.8,0.15,2.984513020910304,2.8453536248600546,0.0
0.8,0.15,2.9923670025442783,2.845933651793297,0.0
0.8,0.15,3.000220984178253,2.8464839147707375,0.0
0.8,0.15,3.008074965812227,2.847004416795097,0.0
0.8,0.15,3.0159289474462017,2.8474951607054075,0.0
0.8,0.15,3.023782929080176,2.84795614917724,0.0
0.8,0.15,3.0316369107141505,2.848387384722917,0.0
0.8,0.15,3.039490892348125,2.848788869691722,0.0
0.8,0.15,3.0473448739820994,2.849160606270096,0.0
0.8,0.15,3.0551988556160743,2.8495025964818037,0.0
0.8,0.15,3.0630528372500487,2.849814842188106,0.0
0.8,0.15,3.070906818884023,2.85009734508791,0.0
0.8,0.15,3.0787608005179976,2.850350106717907,0.0
0.8,0.15,3.086614782151972,2.850573128452695,0.0
0.8,0.15,3.0944687637859465,2.850766411504894,0.0
0.8,0.15,3.102322745419921,2.8509299569252398,0.0
0.8,0.15,3.1101767270538954,2.851063765602679,0.0
0.8,0.15,3.11803070868787,2.851167838264423,0.0
0.8,0.15,3.1258846903218442,2.8512421754760275,0.0
0.8,0.15,3.133738671955819,2.851286777641426,0.0
0.8,0.15,3.141592653589793,2.851301645002966,0.0
0.8,0.3,0.0,0.0,0.0
0.8,0.3,0.007853981633974483,0.03900197497933955,0.14791900126526916
0.8,0.3,0.015707963267948967,0.06788049699592458,0.19005403527718379
0.8,0.3,0.02356194490192345,0.09384998123322452,0.2179499248966563
0.8,0.3,0.031415926535897934,0.11808326733289443,0.23855041893848108
0.8,0.3,0.039269908169872414,0.1410942342756316,0.254458164772821
0.8,0.3,0.0471238898038469,0.16316933699260439,0.26697821945049477
0.8,0.3,0.05497787143782139,0.18448999089042428,0.2768707962127926
0.8,0.3,0.06283185307179587,0.20518073769316003,0.2846213405484323
0.8,0.3,0.07068583470577035,0.22533199768703605,0.2905592700820113
0.8,0.3,0.07853981633974483,0.2450121837221031,0.29491751399499533
0.8,0.3,0.08639379797371932,0.2642747266319996,0.2978652461143825
0.8,0.3,0.0942477796076938,0.283162420816649,0.2995271205204036
