alpha,rho,q,lambda_inf,mi_gain,panel,q_star,g_max,q_c,g_c,period,mode_index,g_ratio,lambda_qc,g_theory,g_num,beta_static,logA,A,mu,restricted_r2,beta_dynamic,mu_free,g_eff,g_eff_ratio,n_fit
0.8,0.3,0.8874999246391166,1.5662229615048218,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.8953539062730911,1.5757313132446515,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.9032078879070656,1.585195380244248,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.91106186954104,1.5946153815475357,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.9189158511750146,1.603991531980706,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.9267698328089892,1.6133240422668218,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.9346238144429636,1.6226131191363435,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.942477796076938,1.631858965433764,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.9503317777109124,1.6410617802205012,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.958185759344887,1.6502217588742272,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.9660397409788616,1.6593390931847756,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.973893722612836,1.668413971446776,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.9817477042468103,1.6774465785491457,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.9896016858807848,1.6864370960615842,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,0.9974556675147594,1.6953857023181709,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.005309649148734,1.704292572498216,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.0131636307827083,1.7131578787044328,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.0210176124166828,1.7219817900385994,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.0288715940506574,1.730764472674738,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.036725575684632,1.739506089929972,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.0445795573186063,1.7482068023331254,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.0524335389525807,1.756866767691138,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.0602875205865552,1.7654861411534275,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.0681415022205298,1.7740650752742175,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.0759954838545045,1.7826037200729576,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.0838494654884787,1.7911022230928932,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.0917034471224532,1.7995607294578355,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.0995574287564276,1.8079793819272276,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.1074114103904025,1.8163583209495555,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.1152653920243767,1.8246976847141645,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.1231193736583511,1.8329976092015423,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.1309733552923256,1.841258228232125,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.1388273369263,1.849479673513672,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.1466813185602749,1.8576620746872867,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.154535300194249,1.8658055593720784,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.1623892818282235,1.8739102532085792,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.170243263462198,1.8819762799009117,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.1780972450961724,1.8900037612577616,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.185951226730147,1.89799281723222,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.1938052083641215,1.905943565960493,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.201659189998096,1.913856123799558,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.2095131716320704,1.9217306053637715,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.2173671532660448,1.9295671235604896,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.2252211349000195,1.937365789624711,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.233075116533994,1.9451267131527872,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.2409290981679684,1.952850002135232,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.2487830798019428,1.9605357629886584,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.2566370614359172,1.968184100586864,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.264491043069892,1.9757951182911015,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.2723450247038663,1.9833689179795584,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.2801990063378408,1.9909056000760688,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.2880529879718152,1.998405263578085,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.29590696960579,2.0058680060839285,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.3037609512397643,2.0132939238193464,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.3116149328737388,2.020683111663394,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.3194689145077132,2.028035663173663,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.3273228961416876,2.03535167061088,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.3351768777756623,2.0426312249628813,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.3430308594096367,2.0498744159680142,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.3508848410436112,2.0570813321379355,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.3587388226775856,2.06425206077987,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.36659280431156,2.071386688018313,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.3744467859455347,2.0784852988162266,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.3823007675795091,2.085547976995697,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.3901547492134836,2.0925748052581183,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.398008730847458,2.0995658652038847,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
0.8,0.3,1.4058627124814325,2.106521237351621,0.0,dispersion,,,,,,,,,,,,,,,,,,,,
